0    [AWT-EventQueue-1] DEBUG com.caeps.gui.PSAnalysisPanel  - Inside establish learning set connection listener
8    [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Loading driver...
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Driver loaded!
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Connecting database...
1087 [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Database connected!
2255 [AWT-EventQueue-1] DEBUG com.caeps.gui.PSAnalysisPanel  - Inside load learning set SQL file listener
6611 [AWT-EventQueue-1] DEBUG com.caeps.gui.PSAnalysisPanel  - Inside cluster learning set listener
6633 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 1
6634 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
6634 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -21.96271334
6635 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -26.18296599
6635 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.892306217, -15.78925837
6635 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.851569103, -28.50254923
6635 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.956342448, -29.16850184
6636 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.910201603, -34.01663249
6636 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.939457758, -28.18812186
6636 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.802962746, -31.18199297
6637 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9280933194444443, Average Angle: -23.88808178777778
6637 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
6637 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 2
6637 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
6638 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, 24.29843855
6638 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, 19.08138156
6638 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.991307762, 4.154466526
6639 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.995622849, 7.343556114
6639 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 1.015243389, 16.26919978
6639 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 1.013221799, 16.66782217
6640 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 1.010961838, 18.51490494
6640 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.983419472, 7.587551054
6640 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 1.0010863454444445, Average Angle: 12.65748007711111
6640 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
6640 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 3
6641 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
6641 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -17.58607885
6641 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -10.55795008
6642 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.984919764, -8.072586572
6642 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.97023166, -13.23974128
6642 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.998706411, -13.41673544
6642 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.980085401, -18.23714544
6643 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.990965898, -17.58607885
6643 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.958721118, -15.49219181
6643 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.987070028, Average Angle: -12.687612035777779
6643 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
6644 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 4
6644 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
6644 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -17.13655189
6644 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -10.01128886
6645 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.985951073, -7.777318405
6645 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.975370894, -12.594849
6645 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.999524499, -12.86773243
6645 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.98001145, -17.7657806
6646 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.99064858, -17.13655189
6646 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.956950585, -15.07717632
6646 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9876063423333333, Average Angle: -12.263027710555557
6647 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
6662 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Number of training data200
31482 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - ************************************Starting the KMeans Algorithm*******************************
31482 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - ************************************Initial clusters*******************************
31482 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 1
31483 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31483 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -21.96271334
31484 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -26.18296599
31484 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.892306217, -15.78925837
31484 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.851569103, -28.50254923
31484 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.956342448, -29.16850184
31485 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.910201603, -34.01663249
31485 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.939457758, -28.18812186
31485 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.802962746, -31.18199297
31485 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9280933194444443, Average Angle: -23.88808178777778
31485 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31485 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 2
31485 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31486 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, 24.29843855
31486 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, 19.08138156
31486 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.991307762, 4.154466526
31486 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.995622849, 7.343556114
31486 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 1.015243389, 16.26919978
31487 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 1.013221799, 16.66782217
31487 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 1.010961838, 18.51490494
31487 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.983419472, 7.587551054
31487 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 1.0010863454444445, Average Angle: 12.65748007711111
31488 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31488 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 3
31488 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
